transaction_id,amount,currency
6004c185-a7da-47cf-a374-90e5f8f77f48,-500,CHZ
d7dbe17a-d6cb-4b13-97e7-39689b9ea81f,1000,EUR
333820f0-6b8c-468e-a604-cc719012a458,1000,EUR
eaa4f24b-9914-4330-8252-c922af697b20,1000,EUR
369112a8-ad2d-48dd-adf2-d6ed2ef4548b,1000,EUR
31b37e85-fc23-4cec-82ad-421e229b4953,1000,EUR
8b5950aa-518b-405b-93e6-3661e980f671,1000,EUR
587b5c6c-6995-4485-b885-748db9af3083,1000,EUR
564c73bb-25cb-4c04-b018-c98cf33034bc,1000,EUR
9bc30b17-c85f-409d-8224-5ae82e35b61f,1000,EUR
e6929ec3-50fe-4efd-ba01-153b0ace48fc,10,USD
20dc00e5-abf4-4314-8391-9de58848f25d,10,USD
9eed72d7-541b-4f2d-a48f-402b1afff00b,10,USD
f897e20e-f1c6-4419-90d5-7e0543f0b89f,10,USD
39c88cb0-79bf-4e19-a18d-a47e49bda836,10,USD
774841cf-0902-49fb-a85c-390ed495ca23,10,USD
